difficulty,question,expected_sql
easy,List all columns from the global superstore table.,"SELECT * FROM ""global_superstore"""
easy,Show me the names of all customers.,"SELECT ""Customer Name"" FROM ""global_superstore"""
easy,What are all the unique product categories?,"SELECT DISTINCT ""Category"" FROM ""global_superstore"""
easy,Find all orders in the Furniture category.,"SELECT * FROM ""global_superstore"" WHERE ""Category"" = 'Furniture'"
easy,List all sales that occurred in the United States.,"SELECT * FROM ""global_superstore"" WHERE ""Country"" = 'United States'"
easy,Show me the details for Order ID CA-2014-100006.,"SELECT * FROM ""global_superstore"" WHERE ""Order ID"" = 'CA-2014-100006'"
easy,What are the unique customer segments?,"SELECT DISTINCT ""Segment"" FROM ""global_superstore"""
easy,Show all orders shipped using standard class.,"SELECT * FROM ""global_superstore"" WHERE ""Ship Mode"" = 'Standard Class'"
easy,List all orders where the profit is greater than 100.,"SELECT * FROM ""global_superstore"" WHERE ""Profit"" > 100"
easy,Show all orders where sales exceeded 500 dollars.,"SELECT * FROM ""global_superstore"" WHERE ""Sales"" > 500"
easy,Find all orders where exactly 5 items were purchased.,"SELECT * FROM ""global_superstore"" WHERE ""Quantity"" = 5"
easy,List all orders from the state of California.,"SELECT * FROM ""global_superstore"" WHERE ""State"" = 'California'"
easy,Show all orders placed in New York City.,"SELECT * FROM ""global_superstore"" WHERE ""City"" = 'New York City'"
easy,Find all orders that had zero discount.,"SELECT * FROM ""global_superstore"" WHERE ""Discount"" = 0"
easy,List all orders with a critical priority.,"SELECT * FROM ""global_superstore"" WHERE ""Order Priority"" = 'Critical'"
medium,What is the total revenue (sales)?,"SELECT SUM(""Sales"") FROM ""global_superstore"""
medium,Calculate the average profit across all orders.,"SELECT AVG(""Profit"") FROM ""global_superstore"""
medium,How many total items (quantity) have been sold?,"SELECT SUM(""Quantity"") FROM ""global_superstore"""
medium,What is the highest discount ever given?,"SELECT MAX(""Discount"") FROM ""global_superstore"""
medium,Show total sales grouped by category.,"SELECT ""Category"", SUM(""Sales"") FROM ""global_superstore"" GROUP BY ""Category"""
medium,What is the total profit for each country?,"SELECT ""Country"", SUM(""Profit"") FROM ""global_superstore"" GROUP BY ""Country"""
medium,List the top 5 cities with the highest total sales.,"SELECT ""City"", SUM(""Sales"") FROM ""global_superstore"" GROUP BY ""City"" ORDER BY SUM(""Sales"") DESC LIMIT 5"
